Variable,holistic_student_justice,postsec_pathways_world,learning_mastery,blended_flexible_learning,Complexity,Uniqueness,status
practices_social_justice,0.6646227663318511,NA,NA,NA,1.266224424222382,0.5403628534763945,NA
practices_culturally_responsive,0.6004666804052482,NA,NA,NA,1.0389783475261887,0.6513789024552072,NA
practices_anti_racist,0.5843028612179679,NA,NA,NA,1.165892924856274,0.6634617013373894,NA
practices_restorative,0.582860254213565,NA,NA,NA,1.1103113272564245,0.63884874449003215,NA
practices_hiring_equity,0.5594961297266782,NA,NA,NA,1.0477020413704483,0.6946716997144144,NA
practices_design_marginalized,0.467534799272114,NA,NA,NA,1.2251876496318392,0.7090947985438706,parent_design_margin
practices_trauma_informed,0.42491399143040026,NA,NA,NA,1.7417739677578765,0.7384235425687158,NA
practices_all_courses_designed_for_inclusion,0.4013143191067355,NA,NA,NA,1.3805091830992062,0.7605189402742923,parent_inclusion
practices_mental_health,0.3782248748727691,NA,NA,NA,2.411211981597168,0.7637667339440013,NA
practices_teachers_leaders,0.35687784983980775,NA,NA,NA,2.3365999998512104,0.6813744058395903,child_leadership
practices_sel_integrated,0.3469681665194511,NA,NA,NA,1.894769743366784,0.8074088674287785,NA
practices_physical_well_being,0.3421061247044685,NA,NA,NA,2.0738440752907197,0.8080825291567765,NA
practices_co_leaders,0.33166347263144214,NA,NA,NA,2.7806895818646806,0.6712126570787322,parent_co_leader
practices_advisories,0.331316628410314,NA,NA,NA,2.1150983834456754,0.7551340006939491,NA
practices_adult_wellness,0.3202561922560886,NA,NA,NA,1.7091568505764732,0.8780601734153551,NA
practices_reallocation_resources,0.275664660167832,NA,NA,NA,3.0202184961678378,0.7636476886251632,NA
practices_student_conferences,0.2578563787460237,NA,NA,NA,2.3950020660045133,0.8382062622752089,NA
practices_udl,0.24869409912915375,NA,NA,NA,2.5796334903098024,0.8736660160791488,NA
practices_families_leaders,0.21934600125493742,NA,NA,NA,1.6922095034644784,0.9187882644872402,child_leadership
practices_sel_curriculum,0.2156335864994149,NA,NA,NA,2.281793759200916,0.9330863247618804,NA
practices_career_prep,NA,0.7183982149692071,NA,NA,1.0059741779406912,0.4933277202481421,NA
practices_industry_credentials,NA,0.707838447744046,NA,NA,1.2091882451694702,0.5164768355015457,NA
practices_assessments_career,NA,0.6460130804156623,NA,NA,1.15002757353984,0.531257343871278,NA
practices_community_partnerships,NA,0.5336672889523504,NA,NA,1.110180987036263,0.6710167710763366,NA
practices_extended_learning,NA,0.5304103963081941,NA,NA,1.0236051537595003,0.6921322540695356,NA
practices_early_college,NA,0.4956933450348203,NA,NA,1.0718212274033858,0.7656748038932666,NA
practices_industry_leaders,NA,0.40886162122922787,NA,NA,1.065750826520091,0.802535373383984,child_leadership
practices_community_leaders,NA,0.36788622913414065,NA,NA,1.6122073174810405,0.8019368336721129,child_leadership
practices_students_leaders,NA,0.2977154915146277,NA,NA,2.721459924279209,0.7329647503021298,child_leadership
practices_a_la_carte,NA,0.2901964138560972,NA,NA,1.54721989822026,0.8667557502212272,child_blended
practices_service_learning,NA,0.27651591866411873,NA,NA,2.216365194847195,0.8197724060815385,NA
practices_enriched_virtual,NA,0.25577159056631354,NA,NA,2.6400297191019897,0.8716398179004059,child_blended
practices_flexible_staffing,NA,0.21700184327955327,NA,NA,2.6843675476595994,0.8389357092452632,NA
practices_interdisciplinary,NA,NA,0.5298441340645578,NA,1.6657649947646358,0.5383703980919157,NA
practices_assessments_bilingual,NA,NA,-0.47021706155656856,NA,1.9343084881463022,0.7370278369631588,NA
practices_competency_education,NA,NA,0.42198870886947043,NA,1.7934941392566575,0.6708047331024908,NA
practices_multi_age,NA,NA,0.40381818115158397,NA,1.5573486145325923,0.7558783363075636,NA
practices_design_thinking,NA,NA,0.39707145433005875,NA,1.2330757010837528,0.7814444099926461,NA
practices_makerspace,NA,NA,0.3824210844133055,NA,1.245928407886051,0.8327280946977547,NA
practices_community_supports,NA,NA,-0.3733412823385517,NA,2.4230421311431884,0.753166927501596,NA
practices_pbl,NA,NA,0.36512301857182683,NA,2.721018480693967,0.7094330988985635,NA
practices_elimination_tracking,NA,NA,0.36272639835957055,NA,2.0578508254986367,0.7391117146700152,NA
practices_dual_language,NA,NA,-0.3600949204111568,NA,1.8390321594352308,0.8504714098508918,NA
practices_assessments_deeper,NA,NA,0.34748175508989015,NA,1.9469601931966651,0.7832176249874989,NA
practices_place_based,NA,NA,0.3438239744642179,NA,2.6008712114177084,0.7020914435893523,NA
practices_student_projects,NA,NA,0.3360408413031394,NA,1.941789629746106,0.7719386497443904,NA
practices_competency_framework,NA,NA,0.33517265468999696,NA,2.2705867681129126,0.7174245811005362,NA
practices_opportunities_mastery,NA,NA,0.3092626153281052,NA,2.2544010144831756,0.7727816076429112,NA
practices_translanguaging,NA,NA,-0.3065156545535331,NA,2.4576645872797775,0.8347078977075054,NA
practices_performance_assessment,NA,NA,0.30582569080607813,NA,2.566102745075253,0.7430888224529997,NA
practices_assessments_agency,NA,NA,0.27891828268469726,NA,1.6438625871847994,0.8703334961422715,NA
practices_heritage_language,NA,NA,-0.26327761625601803,NA,3.183436937798764,0.8731140417581935,NA
practices_learning_paths,NA,NA,0.25238862209550766,NA,2.972928439041551,0.7560549176549994,NA
practices_flex,NA,NA,NA,0.5105405335614485,1.3836428036755135,0.7131518708094813,child_blended
practices_blended_learning,NA,NA,NA,0.49171443489544453,1.5186085473766364,0.6899992092876784,parent_blended
practices_interoperability,NA,NA,NA,0.41827467960917436,1.2677617529352645,0.8024842898399576,NA
practices_station_rotation,NA,NA,NA,0.41014014181770564,1.5177677113705816,0.8348938231486919,child_blended
practices_advancement_mastery,NA,NA,NA,0.39281149326453835,1.900527246497074,0.7361045659120018,NA
practices_student_data,NA,NA,NA,0.3901365921162775,1.4112725737694825,0.7619791273231612,NA
practices_student_pace,NA,NA,NA,0.365542242670823,2.332666965827622,0.7107661796202324,NA
practices_flipped_classroom,NA,NA,NA,0.3527580075135834,1.3826527272725555,0.8310699621763264,child_blended
practices_grading_mastery,NA,NA,NA,0.34661813421392135,2.2383749119983944,0.7607581937577801,NA
practices_tutoring,NA,NA,NA,0.32217702985644614,2.4503580504773903,0.8179242268259302,NA
practices_mentoring,NA,NA,NA,0.31409209960030793,2.143889945746266,0.7619226807968086,NA
practices_student_goals,NA,NA,NA,0.3105320994881862,2.8083360148078476,0.6690351044715617,NA
practices_assessments_sel,NA,NA,NA,0.2917200782740511,2.160810647589191,0.8048332717445399,NA
practices_disaggregated_participation_data,NA,NA,NA,0.27754259608367676,2.788166640647708,0.8401530757055167,NA
practices_expanded_open_hours,NA,NA,NA,0.27407645672188885,1.508982592163407,0.8922907011649477,NA
practices_accommodations,NA,NA,NA,0.23079650030948134,3.3180130358754734,0.8018250379645152,NA
practices_flexible_facilities,NA,NA,NA,0.22205442425601932,2.9343104164000673,0.824690663939256,NA
practices_mtss_academics,NA,NA,NA,0.1879787351169811,3.0312283168458563,0.9173333622427707,NA
practices_peer_to_peer,NA,NA,NA,0.1724865465172193,3.1656243431953963,0.8849874891774459,NA
practices_other_leaders,NA,NA,NA,-0.08816482916490787,2.300037182020265,0.9873436551231006,child_leadership
